stock,top5_buyers,top5_sellers,net_volume,daily_summary,avg_buy_price_buyers,avg_sell_price_buyers,avg_buy_price_sellers,avg_sell_price_sellers,buyers_detail,sellers_detail
BBNI,"1. AZ: 140,125 lot (64.83B) [Retail] | Avg Buy: 4,626
2. MG: 103,499 lot (47.76B) [Mix] | Avg Buy: 4,615
3. DX: 81,615 lot (37.75B) [Bandar] | Avg Buy: 4,626
4. OD: 68,515 lot (31.93B) [Bandar] | Avg Buy: 4,646 | Avg Sell: 4,602
5. IF: 47,982 lot (22.27B) [Mix] | Avg Buy: 4,642","1. BK: 300,747 lot (139.33B) [Bandar] | Avg Sell: 4,633
2. CC: 197,978 lot (91.84B) [Mix] | Avg Sell: 4,639
3. BB: 110,251 lot (51.10B) [Mix] | Avg Buy: 4,630 | Avg Sell: 4,635
4. ZP: 28,512 lot (13.16B) [Bandar] | Avg Sell: 4,617
5. PG: 26,790 lot (12.31B) [Mix] | Avg Sell: 4,595",-222542,"Buyer: Mix 34%, Seller: Mix 50% | Avg Buy Price: 4,631 | Avg Sell Price: 4,624",4631.0,4602.0,4630.0,4623.8,"[{'broker': 'AZ', 'net_lot': 140125, 'net_value': 64826133900, 'avg_buy_price': 4626, 'avg_sell_price': None, 'category': 'Retail'}, {'broker': 'MG', 'net_lot': 103499, 'net_value': 47763715600, 'avg_buy_price': 4615, 'avg_sell_price': None, 'category': 'Mix'}, {'broker': 'DX', 'net_lot': 81615, 'net_value': 37754672100, 'avg_buy_price': 4626, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'OD', 'net_lot': 68515, 'net_value': 31925252200, 'avg_buy_price': 4646, 'avg_sell_price': 4602, 'category': 'Bandar'}, {'broker': 'IF', 'net_lot': 47982, 'net_value': 22272298600, 'avg_buy_price': 4642, 'avg_sell_price': None, 'category': 'Mix'}]","[{'broker': 'BK', 'net_lot': 300747, 'net_value': 139331006600, 'avg_buy_price': None, 'avg_sell_price': 4633, 'category': 'Bandar'}, {'broker': 'CC', 'net_lot': 197978, 'net_value': 91836064000, 'avg_buy_price': None, 'avg_sell_price': 4639, 'category': 'Mix'}, {'broker': 'BB', 'net_lot': 110251, 'net_value': 51101634000, 'avg_buy_price': 4630, 'avg_sell_price': 4635, 'category': 'Mix'}, {'broker': 'ZP', 'net_lot': 28512, 'net_value': 13163233600, 'avg_buy_price': None, 'avg_sell_price': 4617, 'category': 'Bandar'}, {'broker': 'PG', 'net_lot': 26790, 'net_value': 12309131000, 'avg_buy_price': None, 'avg_sell_price': 4595, 'category': 'Mix'}]"
CLPI,"1. XL: 518 lot (80.70M) [Retail] | Avg Buy: 1,558
2. YB: 312 lot (48.45M) [Retail] | Avg Buy: 1,553
3. PD: 251 lot (39.01M) [Mix] | Avg Buy: 1,554
4. GR: 156 lot (24.13M) [Bandar] | Avg Buy: 1,547
5. NI: 124 lot (19.38M) [Bandar] | Avg Buy: 1,563","1. AZ: 1,581 lot (245.69M) [Retail] | Avg Sell: 1,554
2. SQ: 95 lot (14.87M) [Bandar] | Avg Sell: 1,565
3. KK: 77 lot (12.17M) [Bandar] | Avg Sell: 1,580",-392,"Buyer: Retail 61%, Seller: Retail 90% | Avg Buy Price: 1,555 | Avg Sell Price: 1,566",1555.0,,,1566.3333333333333,"[{'broker': 'XL', 'net_lot': 518, 'net_value': 80704400, 'avg_buy_price': 1558, 'avg_sell_price': None, 'category': 'Retail'}, {'broker': 'YB', 'net_lot': 312, 'net_value': 48453600, 'avg_buy_price': 1553, 'avg_sell_price': None, 'category': 'Retail'}, {'broker': 'PD', 'net_lot': 251, 'net_value': 39005400, 'avg_buy_price': 1554, 'avg_sell_price': None, 'category': 'Mix'}, {'broker': 'GR', 'net_lot': 156, 'net_value': 24133200, 'avg_buy_price': 1547, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'NI', 'net_lot': 124, 'net_value': 19381200, 'avg_buy_price': 1563, 'avg_sell_price': None, 'category': 'Bandar'}]","[{'broker': 'AZ', 'net_lot': 1581, 'net_value': 245687400, 'avg_buy_price': None, 'avg_sell_price': 1554, 'category': 'Retail'}, {'broker': 'SQ', 'net_lot': 95, 'net_value': 14867500, 'avg_buy_price': None, 'avg_sell_price': 1565, 'category': 'Bandar'}, {'broker': 'KK', 'net_lot': 77, 'net_value': 12166000, 'avg_buy_price': None, 'avg_sell_price': 1580, 'category': 'Bandar'}]"
DSFI,"1. KK: 66,094 lot (766.69M) [Bandar] | Avg Buy: 116
2. XL: 53,571 lot (620.60M) [Retail] | Avg Buy: 115 | Avg Sell: 103
3. YP: 43,821 lot (498.81M) [Mix] | Avg Buy: 114
4. PD: 13,098 lot (146.67M) [Mix] | Avg Buy: 112
5. EP: 4,218 lot (47.66M) [Mix] | Avg Buy: 113","1. CC: 113,707 lot (1.33B) [Mix] | Avg Buy: 103 | Avg Sell: 116
2. ES: 25,208 lot (293.61M) [Mix] | Avg Buy: 104 | Avg Sell: 116
3. XC: 16,866 lot (193.96M) [Retail] | Avg Sell: 115
4. NI: 8,625 lot (95.58M) [Bandar] | Avg Sell: 111
5. AK: 8,568 lot (91.33M) [Bandar] | Avg Sell: 107",7828,"Buyer: Bandar 37%, Seller: Mix 80% | Avg Buy Price: 114 | Avg Sell Price: 113",114.0,103.0,103.5,113.0,"[{'broker': 'KK', 'net_lot': 66094, 'net_value': 766690400, 'avg_buy_price': 116, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'XL', 'net_lot': 53571, 'net_value': 620601300, 'avg_buy_price': 115, 'avg_sell_price': 103, 'category': 'Retail'}, {'broker': 'YP', 'net_lot': 43821, 'net_value': 498809100, 'avg_buy_price': 114, 'avg_sell_price': None, 'category': 'Mix'}, {'broker': 'PD', 'net_lot': 13098, 'net_value': 146669200, 'avg_buy_price': 112, 'avg_sell_price': None, 'category': 'Mix'}, {'broker': 'EP', 'net_lot': 4218, 'net_value': 47663400, 'avg_buy_price': 113, 'avg_sell_price': None, 'category': 'Mix'}]","[{'broker': 'CC', 'net_lot': 113707, 'net_value': 1332826700, 'avg_buy_price': 103, 'avg_sell_price': 116, 'category': 'Mix'}, {'broker': 'ES', 'net_lot': 25208, 'net_value': 293612800, 'avg_buy_price': 104, 'avg_sell_price': 116, 'category': 'Mix'}, {'broker': 'XC', 'net_lot': 16866, 'net_value': 193959000, 'avg_buy_price': None, 'avg_sell_price': 115, 'category': 'Retail'}, {'broker': 'NI', 'net_lot': 8625, 'net_value': 95580000, 'avg_buy_price': None, 'avg_sell_price': 111, 'category': 'Bandar'}, {'broker': 'AK', 'net_lot': 8568, 'net_value': 91330400, 'avg_buy_price': None, 'avg_sell_price': 107, 'category': 'Bandar'}]"
ESTI,"1. XL: 10,553 lot (224.02M) [Retail] | Avg Buy: 209 | Avg Sell: 200
2. YP: 4,735 lot (95.92M) [Mix] | Avg Buy: 203
3. DH: 1,918 lot (38.36M) [Bandar] | Avg Buy: 200
4. ZP: 1,100 lot (22.77M) [Bandar] | Avg Buy: 207
5. YJ: 1,100 lot (22.44M) [Retail] | Avg Buy: 204","1. CC: 7,853 lot (163.34M) [Mix] | Avg Sell: 208
2. AK: 3,721 lot (78.89M) [Bandar] | Avg Sell: 212
3. GR: 2,891 lot (59.67M) [Bandar] | Avg Buy: 198 | Avg Sell: 204
4. KK: 2,316 lot (47.48M) [Bandar] | Avg Sell: 205
5. CP: 1,942 lot (39.48M) [Mix] | Avg Sell: 203",683,"Buyer: Retail 60%, Seller: Mix 52% | Avg Buy Price: 205 | Avg Sell Price: 206",204.6,200.0,198.0,206.4,"[{'broker': 'XL', 'net_lot': 10553, 'net_value': 224024500, 'avg_buy_price': 209, 'avg_sell_price': 200, 'category': 'Retail'}, {'broker': 'YP', 'net_lot': 4735, 'net_value': 95915900, 'avg_buy_price': 203, 'avg_sell_price': None, 'category': 'Mix'}, {'broker': 'DH', 'net_lot': 1918, 'net_value': 38360000, 'avg_buy_price': 200, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'ZP', 'net_lot': 1100, 'net_value': 22770000, 'avg_buy_price': 207, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'YJ', 'net_lot': 1100, 'net_value': 22440000, 'avg_buy_price': 204, 'avg_sell_price': None, 'category': 'Retail'}]","[{'broker': 'CC', 'net_lot': 7853, 'net_value': 163342400, 'avg_buy_price': None, 'avg_sell_price': 208, 'category': 'Mix'}, {'broker': 'AK', 'net_lot': 3721, 'net_value': 78885200, 'avg_buy_price': None, 'avg_sell_price': 212, 'category': 'Bandar'}, {'broker': 'GR', 'net_lot': 2891, 'net_value': 59667600, 'avg_buy_price': 198, 'avg_sell_price': 204, 'category': 'Bandar'}, {'broker': 'KK', 'net_lot': 2316, 'net_value': 47478000, 'avg_buy_price': None, 'avg_sell_price': 205, 'category': 'Bandar'}, {'broker': 'CP', 'net_lot': 1942, 'net_value': 39478600, 'avg_buy_price': None, 'avg_sell_price': 203, 'category': 'Mix'}]"
GGRM,"1. RX: 12,434 lot (20.96B) [Bandar] | Avg Buy: 16,857
2. PD: 1,164 lot (1.98B) [Mix] | Avg Buy: 16,967
3. LG: 527 lot (890.23M) [Bandar] | Avg Buy: 16,892
4. DP: 450 lot (762.57M) [Bandar] | Avg Buy: 16,946
5. DR: 329 lot (551.95M) [Retail] | Avg Buy: 16,777","1. CC: 2,939 lot (4.96B) [Mix] | Avg Sell: 16,873
2. NI: 2,711 lot (4.55B) [Bandar] | Avg Sell: 16,791
3. XL: 1,617 lot (2.73B) [Retail] | Avg Sell: 16,872
4. BK: 1,365 lot (2.31B) [Bandar] | Avg Buy: 16,902 | Avg Sell: 16,899
5. XC: 1,316 lot (2.23B) [Retail] | Avg Buy: 16,917 | Avg Sell: 16,920",4956,"Buyer: Bandar 90%, Seller: Bandar 41% | Avg Buy Price: 16,888 | Avg Sell Price: 16,871",16887.8,,16909.5,16871.0,"[{'broker': 'RX', 'net_lot': 12434, 'net_value': 20959603000, 'avg_buy_price': 16857, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'PD', 'net_lot': 1164, 'net_value': 1975008400, 'avg_buy_price': 16967, 'avg_sell_price': None, 'category': 'Mix'}, {'broker': 'LG', 'net_lot': 527, 'net_value': 890232300, 'avg_buy_price': 16892, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'DP', 'net_lot': 450, 'net_value': 762570000, 'avg_buy_price': 16946, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'DR', 'net_lot': 329, 'net_value': 551953000, 'avg_buy_price': 16777, 'avg_sell_price': None, 'category': 'Retail'}]","[{'broker': 'CC', 'net_lot': 2939, 'net_value': 4959110200, 'avg_buy_price': None, 'avg_sell_price': 16873, 'category': 'Mix'}, {'broker': 'NI', 'net_lot': 2711, 'net_value': 4552117700, 'avg_buy_price': None, 'avg_sell_price': 16791, 'category': 'Bandar'}, {'broker': 'XL', 'net_lot': 1617, 'net_value': 2728254600, 'avg_buy_price': None, 'avg_sell_price': 16872, 'category': 'Retail'}, {'broker': 'BK', 'net_lot': 1365, 'net_value': 2306437800, 'avg_buy_price': 16902, 'avg_sell_price': 16899, 'category': 'Bandar'}, {'broker': 'XC', 'net_lot': 1316, 'net_value': 2226739200, 'avg_buy_price': 16917, 'avg_sell_price': 16920, 'category': 'Retail'}]"
HMSP,"1. ZP: 351,083 lot (30.68B) [Bandar] | Avg Buy: 874
2. MG: 144,471 lot (12.84B) [Mix] | Avg Buy: 889 | Avg Sell: 889
3. EP: 46,666 lot (4.11B) [Mix] | Avg Buy: 882
4. CC: 44,949 lot (3.97B) [Mix] | Avg Buy: 884
5. DH: 41,997 lot (3.68B) [Bandar] | Avg Buy: 877 | Avg Sell: 894","1. YP: 93,444 lot (8.20B) [Mix] | Avg Buy: 886 | Avg Sell: 878
2. AK: 92,921 lot (8.20B) [Bandar] | Avg Sell: 882
3. CP: 61,964 lot (5.43B) [Mix] | Avg Buy: 886 | Avg Sell: 877
4. DR: 43,117 lot (3.79B) [Retail] | Avg Sell: 879
5. KK: 41,406 lot (3.67B) [Bandar] | Avg Sell: 885",296314,"Buyer: Bandar 62%, Seller: Mix 47% | Avg Buy Price: 881 | Avg Sell Price: 880",881.2,891.5,886.0,880.2,"[{'broker': 'ZP', 'net_lot': 351083, 'net_value': 30675196600, 'avg_buy_price': 874, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'MG', 'net_lot': 144471, 'net_value': 12843471900, 'avg_buy_price': 889, 'avg_sell_price': 889, 'category': 'Mix'}, {'broker': 'EP', 'net_lot': 46666, 'net_value': 4114070300, 'avg_buy_price': 882, 'avg_sell_price': None, 'category': 'Mix'}, {'broker': 'CC', 'net_lot': 44949, 'net_value': 3971277300, 'avg_buy_price': 884, 'avg_sell_price': None, 'category': 'Mix'}, {'broker': 'DH', 'net_lot': 41997, 'net_value': 3679544800, 'avg_buy_price': 877, 'avg_sell_price': 894, 'category': 'Bandar'}]","[{'broker': 'YP', 'net_lot': 93444, 'net_value': 8198361600, 'avg_buy_price': 886, 'avg_sell_price': 878, 'category': 'Mix'}, {'broker': 'AK', 'net_lot': 92921, 'net_value': 8195599700, 'avg_buy_price': None, 'avg_sell_price': 882, 'category': 'Bandar'}, {'broker': 'CP', 'net_lot': 61964, 'net_value': 5433058400, 'avg_buy_price': 886, 'avg_sell_price': 877, 'category': 'Mix'}, {'broker': 'DR', 'net_lot': 43117, 'net_value': 3791534000, 'avg_buy_price': None, 'avg_sell_price': 879, 'category': 'Retail'}, {'broker': 'KK', 'net_lot': 41406, 'net_value': 3665552800, 'avg_buy_price': None, 'avg_sell_price': 885, 'category': 'Bandar'}]"
INDY,"1. PD: 77,112 lot (25.42B) [Mix] | Avg Buy: 3,297
2. ZP: 43,473 lot (14.41B) [Bandar] | Avg Buy: 3,316
3. NI: 30,333 lot (9.94B) [Bandar] | Avg Buy: 3,296 | Avg Sell: 3,360
4. DX: 24,896 lot (8.16B) [Bandar] | Avg Buy: 3,276
5. AI: 19,170 lot (6.33B) [Bandar] | Avg Buy: 3,302","1. AK: 82,466 lot (27.44B) [Bandar] | Avg Sell: 3,327
2. LG: 45,655 lot (15.08B) [Bandar] | Avg Sell: 3,303
3. CC: 40,457 lot (13.41B) [Mix] | Avg Sell: 3,315
4. BK: 12,750 lot (4.07B) [Bandar] | Avg Buy: 3,371 | Avg Sell: 3,278
5. YU: 8,834 lot (2.94B) [Bandar] | Avg Sell: 3,333",4822,"Buyer: Bandar 60%, Seller: Bandar 79% | Avg Buy Price: 3,297 | Avg Sell Price: 3,311",3297.4,3360.0,3371.0,3311.2,"[{'broker': 'PD', 'net_lot': 77112, 'net_value': 25423262400, 'avg_buy_price': 3297, 'avg_sell_price': None, 'category': 'Mix'}, {'broker': 'ZP', 'net_lot': 43473, 'net_value': 14413749600, 'avg_buy_price': 3316, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'NI', 'net_lot': 30333, 'net_value': 9944201600, 'avg_buy_price': 3296, 'avg_sell_price': 3360, 'category': 'Bandar'}, {'broker': 'DX', 'net_lot': 24896, 'net_value': 8155763800, 'avg_buy_price': 3276, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'AI', 'net_lot': 19170, 'net_value': 6329937000, 'avg_buy_price': 3302, 'avg_sell_price': None, 'category': 'Bandar'}]","[{'broker': 'AK', 'net_lot': 82466, 'net_value': 27438175000, 'avg_buy_price': None, 'avg_sell_price': 3327, 'category': 'Bandar'}, {'broker': 'LG', 'net_lot': 45655, 'net_value': 15081116100, 'avg_buy_price': None, 'avg_sell_price': 3303, 'category': 'Bandar'}, {'broker': 'CC', 'net_lot': 40457, 'net_value': 13410934500, 'avg_buy_price': None, 'avg_sell_price': 3315, 'category': 'Mix'}, {'broker': 'BK', 'net_lot': 12750, 'net_value': 4071411900, 'avg_buy_price': 3371, 'avg_sell_price': 3278, 'category': 'Bandar'}, {'broker': 'YU', 'net_lot': 8834, 'net_value': 2943976400, 'avg_buy_price': None, 'avg_sell_price': 3333, 'category': 'Bandar'}]"
INDS,"1. XL: 51,082 lot (4.73B) [Retail] | Avg Buy: 925
2. XC: 11,875 lot (1.12B) [Retail] | Avg Buy: 946
3. XA: 11,750 lot (1.06B) [Bandar] | Avg Buy: 899
4. CC: 4,169 lot (407.13M) [Mix] | Avg Buy: 977
5. CP: 2,852 lot (261.99M) [Mix] | Avg Buy: 919","1. AZ: 33,928 lot (3.21B) [Retail] | Avg Sell: 945
2. DH: 26,295 lot (2.35B) [Bandar] | Avg Buy: 980 | Avg Sell: 895
3. DP: 11,000 lot (1.08B) [Bandar] | Avg Sell: 980
4. DR: 5,580 lot (499.41M) [Retail] | Avg Sell: 895
5. NI: 3,309 lot (308.34M) [Bandar] | Avg Sell: 932",1616,"Buyer: Retail 77%, Seller: Bandar 51% | Avg Buy Price: 933 | Avg Sell Price: 929",933.2,,980.0,929.4,"[{'broker': 'XL', 'net_lot': 51082, 'net_value': 4726802500, 'avg_buy_price': 925, 'avg_sell_price': None, 'category': 'Retail'}, {'broker': 'XC', 'net_lot': 11875, 'net_value': 1123332500, 'avg_buy_price': 946, 'avg_sell_price': None, 'category': 'Retail'}, {'broker': 'XA', 'net_lot': 11750, 'net_value': 1056215000, 'avg_buy_price': 899, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'CC', 'net_lot': 4169, 'net_value': 407125500, 'avg_buy_price': 977, 'avg_sell_price': None, 'category': 'Mix'}, {'broker': 'CP', 'net_lot': 2852, 'net_value': 261994500, 'avg_buy_price': 919, 'avg_sell_price': None, 'category': 'Mix'}]","[{'broker': 'AZ', 'net_lot': 33928, 'net_value': 3206097000, 'avg_buy_price': None, 'avg_sell_price': 945, 'category': 'Retail'}, {'broker': 'DH', 'net_lot': 26295, 'net_value': 2347478000, 'avg_buy_price': 980, 'avg_sell_price': 895, 'category': 'Bandar'}, {'broker': 'DP', 'net_lot': 11000, 'net_value': 1078000000, 'avg_buy_price': None, 'avg_sell_price': 980, 'category': 'Bandar'}, {'broker': 'DR', 'net_lot': 5580, 'net_value': 499410000, 'avg_buy_price': None, 'avg_sell_price': 895, 'category': 'Retail'}, {'broker': 'NI', 'net_lot': 3309, 'net_value': 308344500, 'avg_buy_price': None, 'avg_sell_price': 932, 'category': 'Bandar'}]"
ITMA,"1. II: 253,500 lot (53.16B) [Mix] | Avg Buy: 2,098 | Avg Sell: 2,110
2. MU: 2,500 lot (525.00M) [Bandar]
3. TP: 882 lot (185.04M) [Bandar] | Avg Buy: 2,098
4. XL: 796 lot (159.06M) [Retail] | Avg Buy: 2,024 | Avg Sell: 2,121
5. LG: 490 lot (100.60M) [Bandar] | Avg Buy: 2,053","1. FS: 100,105 lot (20.07B) [Bandar] | Avg Sell: 2,005
2. HD: 61,833 lot (12.05B) [Bandar] | Avg Sell: 1,948
3. TS: 39,627 lot (7.62B) [Bandar] | Avg Sell: 1,922
4. CC: 20,649 lot (4.29B) [Mix] | Avg Buy: 2,125 | Avg Sell: 2,079
5. ZP: 13,615 lot (2.79B) [Bandar] | Avg Sell: 2,047",22339,"Buyer: Mix 98%, Seller: Bandar 91% | Avg Buy Price: 2,068 | Avg Sell Price: 2,000",2068.25,2110.3333333333335,2125.0,2000.2,"[{'broker': 'II', 'net_lot': 253500, 'net_value': 53160300000, 'avg_buy_price': 2098, 'avg_sell_price': 2110, 'category': 'Mix'}, {'broker': 'MU', 'net_lot': 2500, 'net_value': 525000000, 'avg_buy_price': None, 'avg_sell_price': 2100, 'category': 'Bandar'}, {'broker': 'TP', 'net_lot': 882, 'net_value': 185043600, 'avg_buy_price': 2098, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'XL', 'net_lot': 796, 'net_value': 159063700, 'avg_buy_price': 2024, 'avg_sell_price': 2121, 'category': 'Retail'}, {'broker': 'LG', 'net_lot': 490, 'net_value': 100597000, 'avg_buy_price': 2053, 'avg_sell_price': None, 'category': 'Bandar'}]","[{'broker': 'FS', 'net_lot': 100105, 'net_value': 20071052500, 'avg_buy_price': None, 'avg_sell_price': 2005, 'category': 'Bandar'}, {'broker': 'HD', 'net_lot': 61833, 'net_value': 12045068400, 'avg_buy_price': None, 'avg_sell_price': 1948, 'category': 'Bandar'}, {'broker': 'TS', 'net_lot': 39627, 'net_value': 7616309400, 'avg_buy_price': None, 'avg_sell_price': 1922, 'category': 'Bandar'}, {'broker': 'CC', 'net_lot': 20649, 'net_value': 4286643500, 'avg_buy_price': 2125, 'avg_sell_price': 2079, 'category': 'Mix'}, {'broker': 'ZP', 'net_lot': 13615, 'net_value': 2787645100, 'avg_buy_price': None, 'avg_sell_price': 2047, 'category': 'Bandar'}]"
JSMR,"1. AK: 21,503 lot (8.10B) [Bandar] | Avg Buy: 3,766
2. CC: 14,050 lot (5.21B) [Mix] | Avg Buy: 3,727 | Avg Sell: 3,774
3. BK: 11,060 lot (4.16B) [Bandar] | Avg Buy: 3,759
4. RF: 7,558 lot (2.85B) [Bandar] | Avg Buy: 3,769
5. XL: 1,759 lot (663.91M) [Retail] | Avg Buy: 3,772 | Avg Sell: 3,726","1. YP: 13,153 lot (4.91B) [Mix] | Avg Sell: 3,733
2. NI: 7,075 lot (2.64B) [Bandar] | Avg Sell: 3,731
3. AO: 5,577 lot (2.11B) [Bandar] | Avg Sell: 3,778
4. YU: 4,947 lot (1.84B) [Bandar] | Avg Sell: 3,716
5. PD: 4,763 lot (1.79B) [Mix] | Avg Sell: 3,756",20415,"Buyer: Bandar 72%, Seller: Mix 50% | Avg Buy Price: 3,759 | Avg Sell Price: 3,743",3758.6,3750.0,,3742.8,"[{'broker': 'AK', 'net_lot': 21503, 'net_value': 8098693200, 'avg_buy_price': 3766, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'CC', 'net_lot': 14050, 'net_value': 5205358600, 'avg_buy_price': 3727, 'avg_sell_price': 3774, 'category': 'Mix'}, {'broker': 'BK', 'net_lot': 11060, 'net_value': 4157723000, 'avg_buy_price': 3759, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'RF', 'net_lot': 7558, 'net_value': 2848610200, 'avg_buy_price': 3769, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'XL', 'net_lot': 1759, 'net_value': 663908800, 'avg_buy_price': 3772, 'avg_sell_price': 3726, 'category': 'Retail'}]","[{'broker': 'YP', 'net_lot': 13153, 'net_value': 4910340700, 'avg_buy_price': None, 'avg_sell_price': 3733, 'category': 'Mix'}, {'broker': 'NI', 'net_lot': 7075, 'net_value': 2639723500, 'avg_buy_price': None, 'avg_sell_price': 3731, 'category': 'Bandar'}, {'broker': 'AO', 'net_lot': 5577, 'net_value': 2106992600, 'avg_buy_price': None, 'avg_sell_price': 3778, 'category': 'Bandar'}, {'broker': 'YU', 'net_lot': 4947, 'net_value': 1838118600, 'avg_buy_price': None, 'avg_sell_price': 3716, 'category': 'Bandar'}, {'broker': 'PD', 'net_lot': 4763, 'net_value': 1789133400, 'avg_buy_price': None, 'avg_sell_price': 3756, 'category': 'Mix'}]"
LPCK,"1. LG: 5,809 lot (463.46M) [Bandar] | Avg Buy: 798
2. CC: 2,277 lot (181.51M) [Mix] | Avg Buy: 797
3. NI: 2,114 lot (169.04M) [Bandar] | Avg Buy: 800
4. PD: 1,826 lot (144.85M) [Mix] | Avg Buy: 793
5. RF: 1,600 lot (130.40M) [Bandar] | Avg Buy: 815","1. XL: 8,201 lot (656.31M) [Retail] | Avg Sell: 800
2. SQ: 3,272 lot (260.32M) [Bandar] | Avg Sell: 796
3. FS: 1,990 lot (156.22M) [Bandar] | Avg Sell: 785
4. AO: 1,073 lot (85.20M) [Bandar] | Avg Sell: 794
5. AZ: 934 lot (74.25M) [Retail] | Avg Sell: 795",-1844,"Buyer: Bandar 70%, Seller: Retail 59% | Avg Buy Price: 801 | Avg Sell Price: 794",800.6,,,794.0,"[{'broker': 'LG', 'net_lot': 5809, 'net_value': 463455600, 'avg_buy_price': 798, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'CC', 'net_lot': 2277, 'net_value': 181507300, 'avg_buy_price': 797, 'avg_sell_price': None, 'category': 'Mix'}, {'broker': 'NI', 'net_lot': 2114, 'net_value': 169037400, 'avg_buy_price': 800, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'PD', 'net_lot': 1826, 'net_value': 144850500, 'avg_buy_price': 793, 'avg_sell_price': None, 'category': 'Mix'}, {'broker': 'RF', 'net_lot': 1600, 'net_value': 130400000, 'avg_buy_price': 815, 'avg_sell_price': None, 'category': 'Bandar'}]","[{'broker': 'XL', 'net_lot': 8201, 'net_value': 656314400, 'avg_buy_price': None, 'avg_sell_price': 800, 'category': 'Retail'}, {'broker': 'SQ', 'net_lot': 3272, 'net_value': 260318900, 'avg_buy_price': None, 'avg_sell_price': 796, 'category': 'Bandar'}, {'broker': 'FS', 'net_lot': 1990, 'net_value': 156215000, 'avg_buy_price': None, 'avg_sell_price': 785, 'category': 'Bandar'}, {'broker': 'AO', 'net_lot': 1073, 'net_value': 85196200, 'avg_buy_price': None, 'avg_sell_price': 794, 'category': 'Bandar'}, {'broker': 'AZ', 'net_lot': 934, 'net_value': 74253000, 'avg_buy_price': None, 'avg_sell_price': 795, 'category': 'Retail'}]"
LPPF,"1. AK: 6,468 lot (1.23B) [Bandar] | Avg Buy: 1,901
2. BK: 2,476 lot (472.67M) [Bandar] | Avg Buy: 1,909
3. BB: 2,454 lot (457.43M) [Mix] | Avg Buy: 1,864
4. GR: 2,226 lot (424.72M) [Bandar] | Avg Buy: 1,908
5. YP: 1,770 lot (337.35M) [Mix] | Avg Buy: 1,906","1. XL: 7,037 lot (1.33B) [Retail] | Avg Sell: 1,889
2. OD: 5,800 lot (1.11B) [Bandar] | Avg Buy: 1,860 | Avg Sell: 1,912
3. SQ: 3,064 lot (573.37M) [Bandar] | Avg Sell: 1,871
4. NI: 1,337 lot (256.71M) [Bandar] | Avg Buy: 1,869 | Avg Sell: 1,910
5. AZ: 1,188 lot (223.32M) [Retail] | Avg Sell: 1,880",-3032,"Buyer: Bandar 73%, Seller: Bandar 55% | Avg Buy Price: 1,898 | Avg Sell Price: 1,892",1897.6,,1864.5,1892.4,"[{'broker': 'AK', 'net_lot': 6468, 'net_value': 1229652600, 'avg_buy_price': 1901, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'BK', 'net_lot': 2476, 'net_value': 472668400, 'avg_buy_price': 1909, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'BB', 'net_lot': 2454, 'net_value': 457425600, 'avg_buy_price': 1864, 'avg_sell_price': None, 'category': 'Mix'}, {'broker': 'GR', 'net_lot': 2226, 'net_value': 424720800, 'avg_buy_price': 1908, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'YP', 'net_lot': 1770, 'net_value': 337353500, 'avg_buy_price': 1906, 'avg_sell_price': None, 'category': 'Mix'}]","[{'broker': 'XL', 'net_lot': 7037, 'net_value': 1329253100, 'avg_buy_price': None, 'avg_sell_price': 1889, 'category': 'Retail'}, {'broker': 'OD', 'net_lot': 5800, 'net_value': 1112147600, 'avg_buy_price': 1860, 'avg_sell_price': 1912, 'category': 'Bandar'}, {'broker': 'SQ', 'net_lot': 3064, 'net_value': 573366600, 'avg_buy_price': None, 'avg_sell_price': 1871, 'category': 'Bandar'}, {'broker': 'NI', 'net_lot': 1337, 'net_value': 256711800, 'avg_buy_price': 1869, 'avg_sell_price': 1910, 'category': 'Bandar'}, {'broker': 'AZ', 'net_lot': 1188, 'net_value': 223317500, 'avg_buy_price': None, 'avg_sell_price': 1880, 'category': 'Retail'}]"
